"","Sesso","Anziano/a","Partner","Persone a carico","Durata del rapporto","Servizio telefonico","Linee multiple","Servizio Internet","Sicurezza online","Backup online","Protezione device","Assistenza tecnica","StreamingTV","StreamingMovies","Termine del contratto","Fatturazione elettronica","Metodo di pagamento","Addebito mensile","Addebito totale","Churn"
"1","Donna","No","Si","No",1,"No","No","DSL","No","Si","No","No","No","No","mese per mese","Si","assegno elettronico",29.85,29.85,"No"
"2","Uomo","No","No","No",34,"Si","No","DSL","Si","No","Si","No","No","No","un anno","No","assegno per posta",56.95,1889.5,"No"
"3","Uomo","No","No","No",2,"Si","No","DSL","Si","Si","No","No","No","No","mese per mese","Si","assegno per posta",53.85,108.15,"Si"
"4","Uomo","No","No","No",45,"No","No","DSL","Si","No","Si","Si","No","No","un anno","No","bonifico bancario (automatico)",42.3,1840.75,"No"
"5","Donna","No","No","No",2,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",70.7,151.65,"Si"
"6","Donna","No","No","No",8,"Si","Si","fibra ottica","No","No","Si","No","Si","Si","mese per mese","Si","assegno elettronico",99.65,820.5,"Si"
"7","Uomo","No","No","Si",22,"Si","Si","fibra ottica","No","Si","No","No","Si","No","mese per mese","Si","carta di credito (automatico)",89.1,1949.4,"No"
"8","Donna","No","No","No",10,"No","No","DSL","Si","No","No","No","No","No","mese per mese","No","assegno per posta",29.75,301.9,"No"
"9","Donna","No","Si","No",28,"Si","Si","fibra ottica","No","No","Si","Si","Si","Si","mese per mese","Si","assegno elettronico",104.8,3046.05,"Si"
"10","Uomo","No","No","Si",62,"Si","No","DSL","Si","Si","No","No","No","No","un anno","No","bonifico bancario (automatico)",56.15,3487.95,"No"
"11","Uomo","No","Si","Si",13,"Si","No","DSL","Si","No","No","No","No","No","mese per mese","Si","assegno per posta",49.95,587.45,"No"
"12","Uomo","No","No","No",16,"Si","No","No","No","No","No","No","No","No","due anni","No","carta di credito (automatico)",18.95,326.8,"No"
"13","Uomo","No","Si","No",58,"Si","Si","fibra ottica","No","No","Si","No","Si","Si","un anno","No","carta di credito (automatico)",100.35,5681.1,"No"
"14","Uomo","No","No","No",49,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","mese per mese","Si","bonifico bancario (automatico)",103.7,5036.3,"Si"
"15","Uomo","No","No","No",25,"Si","No","fibra ottica","Si","No","Si","Si","Si","Si","mese per mese","Si","assegno elettronico",105.5,2686.05,"No"
"16","Donna","No","Si","Si",69,"Si","Si","fibra ottica","Si","Si","Si","Si","Si","Si","due anni","No","carta di credito (automatico)",113.25,7895.15,"No"
"17","Donna","No","No","No",52,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",20.65,1022.95,"No"
"18","Uomo","No","No","Si",71,"Si","Si","fibra ottica","Si","No","Si","No","Si","Si","due anni","No","bonifico bancario (automatico)",106.7,7382.25,"No"
"19","Donna","No","Si","Si",10,"Si","No","DSL","No","No","Si","Si","No","No","mese per mese","No","carta di credito (automatico)",55.2,528.35,"Si"
"20","Donna","No","No","No",21,"Si","No","fibra ottica","No","Si","Si","No","No","Si","mese per mese","Si","assegno elettronico",90.05,1862.9,"No"
"21","Uomo","Si","No","No",1,"No","No","DSL","No","No","Si","No","No","Si","mese per mese","Si","assegno elettronico",39.65,39.65,"Si"
